epoch,train_loss,val_loss,mIoU,F1,Precision,Recall
1,0.5518151567418976,0.4779580745956685,0.6208630330359459,0.6512143023318828,0.6443273547869864,0.6582510855417125
2,0.5229495765254049,0.43966750431768964,0.6058755091085238,0.6035343364064586,0.7292619966554211,0.5147843078544243
3,0.5143806524943597,0.44691455895357796,0.5999330521994443,0.5960013149171242,0.7182874083016312,0.5092961352918651
4,0.5099235735464804,0.4505387293820334,0.5888840972503627,0.5853820248258264,0.6837714318864986,0.5117465242015693
5,0.5062801713253012,0.447572781602935,0.6032215578113204,0.6090777617492845,0.6865163548743919,0.5473391526606198
6,0.5023329643034699,0.4250411866324963,0.625686375832617,0.6267833098159279,0.7746452402924293,0.5263214745769929
7,0.4993395908634261,0.42382644190646634,0.608769862113755,0.5935874549482827,0.8186456462402099,0.46559029656601275
8,0.49865421247069197,0.4495968157702153,0.5730289992208338,0.5542413423562603,0.695633901031233,0.4606182001375941
9,0.4961828510507499,0.42901007816343023,0.6285374548699454,0.6405335453885972,0.7246003233138375,0.5739462553927536
10,0.4934977740787043,0.41668951924484554,0.6187806955428936,0.6190472500769186,0.7567432564241053,0.523747637709225
11,0.49221360218701976,0.4270863692359169,0.6300277800768942,0.6352403556857469,0.7640255965299106,0.543609582921853
12,0.4898448883749471,0.4285157774344529,0.6016717167858148,0.5975713065259055,0.7245354160172943,0.5084702454606785
13,0.4911819901501778,0.4363860667932152,0.6264862131702981,0.631553556041405,0.7540932395532853,0.5432728865749133
14,0.48871532148948993,0.42517978130000655,0.6206742541525426,0.6255410534323235,0.7380056505383401,0.5428214083873097
15,0.4879865608740561,0.42546944275941,0.6182154636286471,0.6194569247732034,0.7495650503200002,0.5278368071052025
16,0.4841324157348954,0.4348246047992517,0.6098368976073542,0.6096998882393486,0.7307118500099857,0.5230751293130395
17,0.48261094100699564,0.425143173720577,0.6161837487599777,0.6139685650901601,0.7622613530633514,0.5139783589362344
18,0.4838624637168233,0.416745132148856,0.6202301895788931,0.6167351085132389,0.7843860538210172,0.508130498286695
19,0.4814609831365028,0.4216379992442556,0.627697058649471,0.6272373018248639,0.7915574530683086,0.5194127219841218
20,0.48158414470087185,0.42492189531279084,0.6335664132371479,0.6478294872111445,0.7264410285736619,0.5845712248292141
21,0.481214074583927,0.4202135166909435,0.6380969509559276,0.6413603358573329,0.8027991023653013,0.5339804211184556
22,0.4795547599102011,0.43286911213752066,0.6054544354914034,0.6012798897095865,0.7370833786120856,0.5077336254816877
23,0.47687551939841544,0.4273772941957606,0.6122419391642246,0.611072491995301,0.7434779313168719,0.5186986515963246
24,0.47755917928891606,0.42523736027207704,0.615859822146536,0.6144436332172073,0.7566128343880028,0.5172517194947355
25,0.47785930593710135,0.4195283052354756,0.6135308618787967,0.6065205020363467,0.781862883801742,0.4954177462099003
