epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
60,0.514134,0.467100,0.637654,0.676625,0.646736,0.709411,0.849976,0.810744,1.95e-07,173.4
61,0.514077,0.464920,0.639473,0.677460,0.651918,0.705086,0.854246,0.812615,1.95e-07,172.6
62,0.515518,0.465411,0.639859,0.677750,0.652725,0.704772,0.854829,0.812948,1.95e-07,172.4
63,0.514192,0.465870,0.639799,0.678286,0.651010,0.707949,0.853068,0.812565,1.95e-07,172.3
64,0.514512,0.465947,0.639459,0.677217,0.652525,0.703852,0.854890,0.812735,9.77e-08,172.8
65,0.514824,0.464955,0.640943,0.678251,0.655897,0.702182,0.857376,0.814061,9.77e-08,172.8
66,0.515500,0.466293,0.639457,0.677903,0.650644,0.707548,0.852915,0.812342,9.77e-08,172.6
67,0.514421,0.466195,0.639463,0.677750,0.651085,0.706692,0.853377,0.812437,9.77e-08,172.2
68,0.513726,0.464513,0.640344,0.679191,0.650797,0.710177,0.852468,0.812754,9.77e-08,175.6
69,0.514396,0.464331,0.640591,0.679221,0.651730,0.709136,0.853287,0.813054,9.77e-08,175.6
70,0.514173,0.465503,0.639797,0.677779,0.652389,0.705226,0.854519,0.812851,4.88e-08,173.4
71,0.515128,0.464923,0.639764,0.677762,0.652299,0.705293,0.854448,0.812819,4.88e-08,172.2
72,0.514570,0.464137,0.641006,0.678755,0.654747,0.704592,0.856156,0.813854,4.88e-08,173.4
73,0.514236,0.464631,0.640737,0.678982,0.652988,0.707133,0.854511,0.813378,4.88e-08,172.6
74,0.515359,0.465923,0.640006,0.677792,0.653224,0.704281,0.855249,0.813113,4.88e-08,172.4
75,0.513464,0.464733,0.640345,0.678427,0.652885,0.706050,0.854668,0.813189,4.88e-08,173.5
76,0.515184,0.466438,0.639293,0.677268,0.651691,0.704936,0.854132,0.812491,2.44e-08,172.9
77,0.514684,0.467444,0.638494,0.676414,0.650715,0.704227,0.853651,0.811946,2.44e-08,172.6
78,0.514570,0.466676,0.639062,0.676978,0.651529,0.704496,0.854118,0.812359,2.44e-08,173.3
79,0.515414,0.467465,0.638205,0.676981,0.648012,0.708663,0.850970,0.811252,2.44e-08,173.6
80,0.514628,0.465894,0.639740,0.677741,0.652257,0.705298,0.854420,0.812800,2.44e-08,178.7
81,0.514499,0.466434,0.638994,0.677671,0.649374,0.708548,0.851882,0.811877,2.44e-08,178.0
82,0.515248,0.465811,0.639853,0.677811,0.652531,0.705129,0.854631,0.812905,1.22e-08,178.3
83,0.514314,0.465398,0.639748,0.677670,0.652483,0.704882,0.854651,0.812850,1.22e-08,178.9
84,0.514277,0.465119,0.639468,0.678091,0.650180,0.708508,0.852414,0.812250,1.22e-08,178.5
85,0.513696,0.465313,0.639471,0.677451,0.651933,0.705050,0.854263,0.812617,1.22e-08,180.2
86,0.514613,0.466413,0.639551,0.677786,0.651346,0.706465,0.853593,0.812529,1.22e-08,178.0
87,0.514745,0.465594,0.640007,0.678047,0.652525,0.705648,0.854520,0.812969,1.22e-08,178.2
88,0.513938,0.465659,0.639438,0.678256,0.649616,0.709539,0.851832,0.812118,1.22e-08,178.9
89,0.515164,0.467774,0.637996,0.676917,0.647341,0.709325,0.850392,0.811020,1.22e-08,178.1
90,0.514351,0.465303,0.639687,0.677138,0.653699,0.702322,0.855954,0.813075,1.22e-08,177.3
91,0.514256,0.468163,0.637451,0.677750,0.643030,0.716435,0.846019,0.809852,1.22e-08,172.4
92,0.514889,0.467086,0.638359,0.676364,0.650291,0.704617,0.853296,0.811799,1.22e-08,173.1
93,0.513178,0.464761,0.639961,0.679318,0.648896,0.712734,0.850694,0.812189,1.22e-08,172.9
94,0.515365,0.466146,0.638929,0.677144,0.650527,0.706033,0.853154,0.812092,1.22e-08,175.9
95,0.515084,0.464963,0.639835,0.678357,0.650968,0.708153,0.852998,0.812572,1.22e-08,178.7
96,0.514379,0.465313,0.639056,0.678151,0.648347,0.710830,0.850733,0.811686,1.22e-08,178.0
97,0.514897,0.465820,0.639552,0.678219,0.650179,0.708787,0.852355,0.812285,1.22e-08,176.0
98,0.513700,0.466248,0.639006,0.676441,0.652769,0.701897,0.855449,0.812592,1.22e-08,174.9
99,0.514621,0.465963,0.639533,0.677704,0.651500,0.706105,0.853767,0.812554,1.22e-08,176.0
100,0.514298,0.466946,0.638822,0.677961,0.647905,0.710942,0.850420,0.811492,1.22e-08,175.0
