epoch,train_loss,val_loss,mIoU,F1,Precision,Recall
1,0.5481593370585158,0.4495615844089206,0.6249033675500025,0.6194817636922281,0.8158277148313773,0.49931254697276606
2,0.5130392734957213,0.4179231784131267,0.6551553380566357,0.6798216416851773,0.7256192927693395,0.6394627219443231
3,0.5049928292484567,0.4116512669785188,0.6140791348219596,0.6112219470233703,0.7587794899841882,0.5117117270873157
4,0.5010496074757954,0.4280408234289377,0.6188189629418658,0.6150769098478559,0.7808023294035162,0.5073851237605349
5,0.4990084204490822,0.41525440345896353,0.620801235937989,0.6174032550469613,0.7858555485755082,0.5084212553684383
6,0.49666511370699007,0.41797452840474575,0.6499483313120529,0.6643458265613031,0.7672383894240836,0.5857880184559745
7,0.49403861592901815,0.41146785522451496,0.6270524708868143,0.6203475524004071,0.8348639518745891,0.4935354743536207
8,0.4919024021318643,0.4175884210237182,0.6315299196254123,0.6444413835722484,0.7277982076738029,0.5782173690392443
9,0.4909825671722393,0.4248509138527483,0.6106766060132429,0.6091867467399199,0.7401504413711026,0.5176020340261607
10,0.4881854457872929,0.4179550223421342,0.6343242425326989,0.6410941376405729,0.7679942413835216,0.5501847784245976
11,0.48754036647848564,0.44442938932097786,0.6543026740811042,0.6841924002394162,0.7017025524482446,0.6675358133933489
12,0.48733792513018787,0.4407576664839641,0.6300241347098332,0.6335176715556846,0.7742493054229546,0.5360781078929611
13,0.48475169501092175,0.4302997928444702,0.6069426480387933,0.5978592097463507,0.769640152660977,0.4887685792050638
14,0.4798040064697218,0.4132553740303115,0.650440904782039,0.6708087504197313,0.7362640974577553,0.6160422743818067
15,0.4783404648008913,0.4273228719092832,0.6236037634006675,0.6351315357311735,0.7143981108970717,0.5716991223079847
16,0.4803883774888397,0.43200539863935794,0.6152758595148072,0.6117279913446823,0.7669319007528481,0.5087692265109748
17,0.47993346045512963,0.41994890334582563,0.6447421440839892,0.6681991732615197,0.7102018229331577,0.6308882177855156
18,0.4770171977948434,0.41442975106805857,0.6433450498148428,0.6529831566611003,0.7775483125191328,0.562819004866177
19,0.4767979789193314,0.4144188416476297,0.647950782430535,0.6577442192903398,0.7902866017311432,0.5632756561952896
20,0.47515355279245,0.4129502858855937,0.6447043933077851,0.6594280752066032,0.7518197102965197,0.5872601530418388
21,0.47372966178573006,0.422031031386687,0.6340515950008321,0.6409327005601739,0.7665173027448942,0.5507068677830564
22,0.47352169948344186,0.4166843894094524,0.6317528690802379,0.6412740838414447,0.7452774140114152,0.5627441048515064
