epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
5,0.494661,0.422885,0.629777,0.647281,0.703492,0.599388,0.902192,0.817679,1.00e-04,180.7
1,0.540894,0.442043,0.619478,0.620020,0.757455,0.524799,0.934939,0.820468,1.00e-04,181.0
6,0.488577,0.423311,0.644876,0.659120,0.754876,0.584923,0.926464,0.831139,1.00e-04,204.5
2,0.505457,0.426918,0.618024,0.610284,0.804544,0.491589,0.953763,0.824769,1.00e-04,195.5
3,0.500441,0.428739,0.636718,0.648947,0.744452,0.575160,0.923561,0.826322,1.00e-04,197.1
7,0.486297,0.430302,0.622833,0.631249,0.726625,0.558007,0.918721,0.818045,1.00e-04,209.2
4,0.494306,0.439338,0.598334,0.590701,0.730898,0.495632,0.929351,0.808299,1.00e-04,190.4
8,0.485433,0.411181,0.647028,0.660149,0.766934,0.579467,0.931823,0.833480,1.00e-04,203.3
5,0.493505,0.439471,0.599963,0.601996,0.692822,0.532224,0.908641,0.803582,1.00e-04,185.0
9,0.481129,0.427881,0.634093,0.650491,0.717919,0.594643,0.909543,0.821654,1.00e-04,200.0
6,0.486833,0.410208,0.648244,0.664162,0.754237,0.593308,0.925152,0.832534,1.00e-04,179.2
10,0.481001,0.418999,0.638338,0.646532,0.771542,0.556384,0.936216,0.830204,1.00e-04,198.2
7,0.485488,0.429491,0.614161,0.614695,0.740646,0.525356,0.928776,0.816181,1.00e-04,184.0
11,0.482335,0.425337,0.609518,0.598167,0.794445,0.479661,0.951951,0.820134,1.00e-04,211.2
8,0.483009,0.423071,0.636016,0.647553,0.746210,0.571938,0.924690,0.826236,1.00e-04,204.6
12,0.478396,0.420814,0.607665,0.603618,0.743714,0.507937,0.932233,0.813811,1.00e-04,216.5
9,0.484382,0.412922,0.650164,0.670094,0.737820,0.613757,0.915562,0.831328,1.00e-04,208.6
13,0.475747,0.426163,0.613698,0.612011,0.750976,0.516446,0.933697,0.817242,1.00e-04,220.2
10,0.481938,0.415884,0.629463,0.638730,0.740336,0.561649,0.923733,0.822674,1.00e-04,214.4
14,0.476074,0.432697,0.614870,0.622998,0.707056,0.556803,0.910685,0.811916,5.00e-05,232.8
11,0.477311,0.414329,0.638062,0.648729,0.756456,0.567860,0.929218,0.828362,1.00e-04,264.6
15,0.470421,0.400310,0.640548,0.646650,0.791624,0.546557,0.944300,0.833289,5.00e-05,247.2
12,0.475875,0.424759,0.604862,0.593936,0.772854,0.482286,0.945121,0.815943,5.00e-05,220.2
16,0.469949,0.422439,0.612688,0.606193,0.775437,0.497591,0.944210,0.819558,5.00e-05,225.8
13,0.472949,0.414092,0.623143,0.620581,0.788986,0.511421,0.947045,0.825461,5.00e-05,218.0
17,0.467815,0.415022,0.634401,0.642574,0.760096,0.556527,0.931994,0.827201,5.00e-05,245.7
14,0.469387,0.421378,0.620633,0.625293,0.738941,0.541944,0.925874,0.818718,5.00e-05,216.6
18,0.467467,0.414114,0.624859,0.623257,0.788919,0.515094,0.946643,0.826197,5.00e-05,234.9
15,0.468823,0.406056,0.640341,0.645447,0.797670,0.542013,0.946772,0.833803,5.00e-05,216.4
19,0.467495,0.411816,0.623462,0.623368,0.774430,0.521621,0.941177,0.824078,5.00e-05,229.1
16,0.467669,0.425037,0.613193,0.614543,0.733545,0.528764,0.925639,0.814870,5.00e-05,202.8
20,0.467535,0.417981,0.621790,0.628865,0.730218,0.552219,0.921012,0.818081,5.00e-05,225.6
17,0.470098,0.406362,0.648024,0.658397,0.786706,0.566073,0.940581,0.836055,5.00e-05,219.0
