epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.584786,0.471114,0.629680,0.641861,0.726609,0.574818,0.916266,0.820967,1.00e-04,402.4
2,0.528292,0.448781,0.587326,0.564463,0.773163,0.444483,0.949512,0.808558,1.00e-04,382.3
3,0.521124,0.437217,0.623288,0.636753,0.705346,0.580320,0.906143,0.815205,1.00e-04,396.9
4,0.518265,0.488103,0.541014,0.493497,0.694245,0.382805,0.934728,0.780685,1.00e-04,374.0
5,0.513366,0.431672,0.625515,0.633176,0.737617,0.554644,0.923615,0.820634,1.00e-04,384.5
6,0.512522,0.463073,0.576033,0.556556,0.709333,0.457928,0.927351,0.796334,1.00e-04,382.0
7,0.510065,0.445504,0.593386,0.590906,0.692550,0.515281,0.911436,0.800868,1.00e-04,392.7
8,0.508852,0.444687,0.607790,0.612542,0.702741,0.542864,0.911096,0.808322,1.00e-04,386.0
9,0.507066,0.444323,0.613135,0.608146,0.767908,0.503413,0.941093,0.818936,1.00e-04,385.5
10,0.505821,0.449555,0.588701,0.595538,0.648477,0.550591,0.884448,0.791268,1.00e-04,407.1
11,0.504246,0.425447,0.601457,0.596013,0.730390,0.503399,0.928058,0.809535,1.00e-04,381.7
12,0.504118,0.445318,0.577507,0.557018,0.719561,0.454379,0.931439,0.798291,1.00e-04,379.2
13,0.501850,0.435103,0.619384,0.627461,0.719028,0.556582,0.915795,0.815538,1.00e-04,381.9
14,0.502141,0.451841,0.598904,0.592670,0.725905,0.500760,0.926795,0.807888,1.00e-04,437.7
15,0.501798,0.438463,0.631459,0.637900,0.761295,0.548927,0.933363,0.826066,1.00e-04,470.5
16,0.500589,0.420242,0.613718,0.618086,0.720610,0.541103,0.918777,0.813367,1.00e-04,466.6
17,0.498129,0.429770,0.632499,0.646121,0.726845,0.581536,0.915388,0.822209,1.00e-04,494.6
18,0.497821,0.405786,0.614817,0.615110,0.743950,0.524309,0.930135,0.816868,1.00e-04,506.6
19,0.498496,0.454463,0.601862,0.600914,0.710621,0.520551,0.917931,0.807021,1.00e-04,496.3
20,0.497628,0.434011,0.623188,0.639217,0.694816,0.591857,0.899354,0.813531,1.00e-04,411.6
21,0.496446,0.436473,0.604167,0.599869,0.733508,0.507422,0.928627,0.811068,1.00e-04,407.1
22,0.495651,0.419744,0.629449,0.642388,0.722507,0.578265,0.914014,0.820306,1.00e-04,380.2
23,0.494767,0.434151,0.604831,0.595052,0.765789,0.486569,0.942386,0.815166,1.00e-04,389.9
24,0.495602,0.429304,0.620101,0.621312,0.755705,0.527502,0.933980,0.820531,5.00e-05,411.5
25,0.493434,0.435912,0.608212,0.604739,0.742502,0.510097,0.931512,0.813894,5.00e-05,384.9
26,0.493088,0.430176,0.608668,0.609808,0.721109,0.528272,0.920899,0.811316,5.00e-05,404.1
27,0.491587,0.404060,0.661138,0.681019,0.763193,0.614822,0.926142,0.839252,5.00e-05,381.2
28,0.491851,0.456004,0.620991,0.625185,0.742385,0.539945,0.927459,0.819303,5.00e-05,406.6
29,0.490576,0.430319,0.635928,0.647206,0.747342,0.570734,0.925297,0.826338,5.00e-05,400.4
30,0.491430,0.425949,0.609494,0.599263,0.786862,0.483895,0.949254,0.819371,5.00e-05,372.9
31,0.491848,0.418051,0.647195,0.659667,0.771236,0.576299,0.933818,0.834034,5.00e-05,399.2
32,0.491383,0.425784,0.663820,0.687855,0.746316,0.637888,0.916053,0.838417,5.00e-05,377.8
33,0.489647,0.428164,0.621979,0.627090,0.740551,0.543778,0.926242,0.819496,2.50e-05,413.0
34,0.488683,0.417416,0.634984,0.648636,0.732856,0.581779,0.917894,0.824084,2.50e-05,410.0
35,0.487531,0.422595,0.631644,0.638867,0.757420,0.552404,0.931504,0.825697,2.50e-05,378.8
36,0.486475,0.417441,0.634003,0.645997,0.738575,0.574044,0.921334,0.824405,2.50e-05,409.8
37,0.487314,0.434050,0.602324,0.598178,0.726828,0.508222,0.926049,0.809432,2.50e-05,385.0
38,0.488647,0.431862,0.616071,0.619642,0.731101,0.537673,0.923437,0.815769,2.50e-05,409.1
39,0.485797,0.425037,0.623242,0.621871,0.781631,0.516337,0.944151,0.824747,1.25e-05,414.0
40,0.486277,0.424124,0.614789,0.611382,0.764400,0.509409,0.939213,0.819254,1.25e-05,386.3
41,0.486149,0.414765,0.636789,0.646225,0.759793,0.562193,0.931188,0.828201,1.25e-05,426.6
42,0.485248,0.419562,0.640454,0.653121,0.751937,0.577262,0.926270,0.828861,1.25e-05,386.5
