epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
3,0.506346,0.433358,0.566705,0.527479,0.776291,0.399450,0.955433,0.800257,1.00e-04,475.8
4,0.502589,0.428366,0.639853,0.661771,0.706745,0.622180,0.900049,0.822495,1.00e-04,678.6
5,0.500207,0.416619,0.629855,0.633140,0.774973,0.535192,0.939834,0.826898,1.00e-04,700.7
6,0.497563,0.421810,0.592478,0.573820,0.769685,0.457419,0.947008,0.810362,1.00e-04,674.0
1,0.547149,0.441657,0.611502,0.609675,0.744568,0.516162,0.931444,0.815538,1.00e-04,2609.7
7,0.496472,0.422868,0.618943,0.607047,0.840475,0.475098,0.965088,0.828331,1.00e-04,690.4
8,0.495189,0.433302,0.606032,0.602005,0.738221,0.508229,0.930225,0.812445,1.00e-04,691.6
9,0.491128,0.435788,0.622035,0.613308,0.828993,0.486685,0.961131,0.828712,1.00e-04,674.9
2,0.515169,0.436169,0.646525,0.676492,0.688088,0.665281,0.883243,0.822409,1.00e-04,2409.8
10,0.489564,0.404520,0.679967,0.706732,0.763909,0.657519,0.921325,0.847696,1.00e-04,660.3
11,0.490238,0.431447,0.640948,0.647804,0.787936,0.549991,0.942691,0.833088,1.00e-04,729.1
12,0.487017,0.452311,0.599718,0.581169,0.801137,0.455974,0.956180,0.816571,1.00e-04,729.7
13,0.485265,0.422208,0.626803,0.618704,0.845284,0.487917,0.965425,0.832151,1.00e-04,701.1
3,0.507020,0.437382,0.580495,0.549690,0.792439,0.420789,0.957329,0.807580,1.00e-04,2298.9
14,0.483929,0.394793,0.652450,0.662208,0.804332,0.562768,0.946997,0.839758,1.00e-04,707.0
15,0.485733,0.424320,0.622382,0.625889,0.750202,0.536918,0.930784,0.820855,1.00e-04,730.2
16,0.484345,0.405825,0.652376,0.666307,0.776537,0.583483,0.934993,0.836886,1.00e-04,692.2
4,0.504228,0.430302,0.627837,0.632302,0.761591,0.540540,0.934488,0.824537,1.00e-04,2298.4
17,0.484267,0.416531,0.669716,0.702723,0.714559,0.691273,0.893091,0.836763,1.00e-04,687.7
18,0.481858,0.418512,0.658753,0.688531,0.709867,0.668440,0.894228,0.831210,1.00e-04,696.5
19,0.479404,0.427777,0.613943,0.602879,0.811286,0.479662,0.956803,0.823632,1.00e-04,692.0
5,0.501264,0.423872,0.610787,0.601603,0.785204,0.487592,0.948360,0.819758,1.00e-04,2298.4
20,0.480446,0.408580,0.643534,0.647187,0.819158,0.534895,0.954282,0.837230,5.00e-05,690.5
21,0.473933,0.409971,0.655751,0.671970,0.771516,0.595177,0.931759,0.837818,5.00e-05,729.6
22,0.475991,0.402519,0.664527,0.681007,0.792770,0.596863,0.939596,0.843938,5.00e-05,717.8
6,0.497549,0.416330,0.659016,0.681653,0.743468,0.629328,0.915929,0.835938,1.00e-04,2283.8
23,0.474498,0.412233,0.637029,0.643757,0.776507,0.549771,0.938738,0.830177,5.00e-05,716.8
24,0.475157,0.410358,0.647498,0.654945,0.804930,0.552077,0.948201,0.837642,5.00e-05,694.7
25,0.473671,0.400091,0.660330,0.676473,0.783890,0.594948,0.936498,0.841171,5.00e-05,689.1
26,0.473058,0.435680,0.618613,0.622027,0.739353,0.536839,0.926729,0.817910,2.50e-05,680.6
7,0.496314,0.426163,0.605809,0.589926,0.810136,0.463845,0.957913,0.820018,1.00e-04,2281.8
27,0.470909,0.412700,0.637779,0.643206,0.787120,0.543783,0.943061,0.831622,2.50e-05,642.3
28,0.471253,0.421202,0.631535,0.636825,0.768222,0.543812,0.936478,0.826884,2.50e-05,649.9
29,0.470784,0.422873,0.609476,0.598996,0.788431,0.482957,0.949825,0.819521,2.50e-05,681.6
8,0.494798,0.402761,0.649580,0.660795,0.785835,0.570085,0.939849,0.836647,1.00e-04,2088.3
9,0.491992,0.417866,0.648026,0.659745,0.778162,0.572609,0.936800,0.835154,1.00e-04,1078.4
10,0.489408,0.418226,0.647365,0.660567,0.767363,0.579867,0.931939,0.833675,1.00e-04,1073.4
11,0.489081,0.440220,0.658549,0.683791,0.729652,0.643354,0.907712,0.833929,1.00e-04,1077.0
12,0.488162,0.437566,0.615602,0.617320,0.738977,0.530058,0.927513,0.816583,1.00e-04,1081.6
13,0.483771,0.448674,0.604082,0.613431,0.675881,0.561547,0.895742,0.802467,1.00e-04,1089.9
14,0.484595,0.406269,0.648984,0.658883,0.792707,0.563718,0.942928,0.837090,5.00e-05,1165.6
15,0.480578,0.420570,0.639945,0.650996,0.759496,0.569622,0.930165,0.829537,5.00e-05,1145.5
16,0.480484,0.432874,0.627859,0.631951,0.763812,0.538917,0.935482,0.824800,5.00e-05,1127.9
17,0.479634,0.411414,0.673048,0.701239,0.742910,0.663995,0.911038,0.842088,5.00e-05,1239.9
18,0.477482,0.411948,0.665728,0.686368,0.769442,0.619486,0.928134,0.841989,5.00e-05,1260.5
19,0.477461,0.412024,0.640597,0.642364,0.822787,0.526839,0.956069,0.836270,5.00e-05,1145.3
20,0.476529,0.413134,0.644216,0.654218,0.777849,0.564498,0.937583,0.833454,2.50e-05,1025.0
21,0.474163,0.418401,0.616762,0.614860,0.762415,0.515158,0.937848,0.819874,2.50e-05,1042.4
22,0.474156,0.420748,0.630341,0.636076,0.761964,0.545889,0.933976,0.825660,2.50e-05,1042.4
23,0.473065,0.413313,0.633955,0.633887,0.811715,0.519973,0.953304,0.832360,2.50e-05,1037.9
