Model,Parameters (M),FLOPs (G),Memory (MB),FPS
ViT-UNet,33.1,47.4,218,124
U-Net,31.0,41.9,339,269
DeepLabV3+,26.7,7.1,501,170
CBD-Net,73.4,35.3,782,122
TransUNet,107.1,37.8,1188,115
DS-UNet,7.8,10.7,1126,408
LRA-UNet,1.9,3.3,1264,222
DAENet,24.9,8.1,1392,155
SegFormer,3.7,1.3,1230,142
ViT-UNet (Deep Skip),32.9,47.1,1409,131
