epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.566106,0.443973,0.606970,0.603607,0.737875,0.510681,0.929763,0.812797,1.00e-04,576.8
2,0.526762,0.446733,0.607092,0.609637,0.710261,0.533987,0.915665,0.809138,1.00e-04,626.9
3,0.520931,0.456345,0.576820,0.546707,0.769539,0.423948,0.950845,0.803787,1.00e-04,670.0
4,0.518841,0.449820,0.580609,0.559246,0.736030,0.450939,0.937387,0.801618,1.00e-04,608.1
5,0.515265,0.488325,0.611735,0.622521,0.688675,0.567963,0.900595,0.807757,1.00e-04,475.6
6,0.512529,0.437258,0.626696,0.637258,0.726631,0.567463,0.917346,0.819693,1.00e-04,629.9
7,0.510131,0.457425,0.600295,0.589909,0.752316,0.485172,0.938158,0.811729,1.00e-04,596.6
8,0.509786,0.425401,0.609232,0.610482,0.722249,0.528671,0.921288,0.811708,1.00e-04,654.1
9,0.506806,0.418922,0.625654,0.633532,0.736911,0.555590,0.923205,0.820603,1.00e-04,619.0
10,0.506998,0.420565,0.608004,0.603301,0.748364,0.505346,0.934213,0.814516,1.00e-04,547.4
11,0.505091,0.420575,0.630191,0.644636,0.717488,0.585216,0.910787,0.819919,1.00e-04,634.9
12,0.503580,0.423130,0.605272,0.595869,0.765226,0.487891,0.942048,0.815292,1.00e-04,683.1
13,0.502517,0.435045,0.581295,0.556283,0.759251,0.438943,0.946114,0.804562,1.00e-04,623.2
14,0.502790,0.433741,0.610576,0.611148,0.729488,0.525844,0.924506,0.813239,1.00e-04,548.7
15,0.501904,0.431405,0.614100,0.613065,0.748747,0.519014,0.932571,0.817147,5.00e-05,594.9
16,0.497901,0.419693,0.637107,0.648966,0.747412,0.573436,0.924971,0.826857,5.00e-05,664.4
17,0.497281,0.424262,0.620389,0.628448,0.721773,0.556494,0.916949,0.816345,5.00e-05,717.1
18,0.496448,0.425248,0.626631,0.638922,0.718498,0.575216,0.912748,0.818542,5.00e-05,719.0
19,0.495628,0.438667,0.609762,0.609203,0.732569,0.521399,0.926308,0.813297,5.00e-05,720.7
20,0.495825,0.428442,0.607098,0.607089,0.721839,0.523819,0.921850,0.810759,5.00e-05,686.5
21,0.495647,0.436093,0.608103,0.608920,0.720954,0.527022,0.921026,0.811059,2.50e-05,643.1
22,0.493950,0.411087,0.638090,0.648012,0.760718,0.564394,0.931268,0.828873,2.50e-05,704.4
23,0.492867,0.419279,0.633934,0.642875,0.754469,0.560040,0.929438,0.826338,2.50e-05,639.1
24,0.491862,0.422035,0.630943,0.644127,0.725057,0.579450,0.914930,0.821297,2.50e-05,701.8
25,0.492541,0.422669,0.638578,0.653713,0.734462,0.588961,0.917561,0.825848,2.50e-05,682.1
26,0.492372,0.425740,0.611791,0.603737,0.781837,0.491725,0.946878,0.819844,2.50e-05,608.0
27,0.491373,0.425540,0.620111,0.619491,0.766237,0.519920,0.938590,0.821738,2.50e-05,627.4
28,0.491894,0.424714,0.619945,0.624756,0.736180,0.542627,0.924714,0.818073,1.25e-05,616.0
29,0.491300,0.417441,0.630635,0.636894,0.759864,0.548182,0.932929,0.825545,1.25e-05,823.7
30,0.491847,0.431174,0.617720,0.624780,0.719230,0.552258,0.916533,0.814863,1.25e-05,738.6
31,0.490004,0.413513,0.632072,0.641368,0.747340,0.561719,0.926476,0.824672,1.25e-05,784.7
32,0.491441,0.425516,0.629423,0.635797,0.755612,0.548780,0.931282,0.824525,1.25e-05,816.7
33,0.490917,0.418785,0.630076,0.637619,0.751105,0.553926,0.928935,0.824269,1.25e-05,888.9
34,0.490831,0.417756,0.637709,0.646393,0.766775,0.558682,0.934210,0.829399,6.25e-06,864.2
35,0.490370,0.421162,0.624181,0.624094,0.776845,0.521544,0.941997,0.824647,6.25e-06,791.9
36,0.488636,0.416758,0.630754,0.637398,0.758047,0.549881,0.932050,0.825386,6.25e-06,963.7
37,0.489924,0.422553,0.637860,0.652050,0.737361,0.584434,0.919406,0.825915,6.25e-06,812.5
