epoch,train_loss,val_loss,mIoU,F1,Precision,Recall
1,0.5816364392343134,0.4721856639526858,0.6297415429942539,0.632981423688582,0.7748867013572287,0.5350063390879949
2,0.5436978746611293,0.4575596755684012,0.6188196791153989,0.6211454400442549,0.7456385496318914,0.5322764678921442
3,0.5340729554248328,0.45990642580655544,0.6111561888097852,0.6097586001461456,0.7412012931069744,0.5179139258227874
4,0.5308888554573059,0.4456234025483084,0.6398942313728946,0.653698386531703,0.7444554585153159,0.5826660496626633
5,0.5294975709206987,0.4377036522520651,0.6109599292932343,0.6058678055322171,0.7607764480800959,0.5033723576853073
6,0.5251238103402723,0.4419402550942827,0.5858457039630919,0.5622525935054152,0.7710407442037629,0.4424448213714042
7,0.5243346356224305,0.4496443790964561,0.5940881251414454,0.5792742358185299,0.7536170036747115,0.47044226115271964
8,0.5236109852200688,0.4501569173713722,0.5957581630483035,0.5895239144734084,0.715781237783671,0.5011299555932006
9,0.5193923373181041,0.4458787653705861,0.5526710735854903,0.5084423244654501,0.733527294953091,0.3890591063694111
10,0.5239546796915555,0.44270176521622306,0.5994285887110492,0.5887779437994027,0.7505906403485725,0.48436013412671564
11,0.5182332712234837,0.43624343140290517,0.620456419128553,0.6209811769771045,0.7607328575719269,0.5246080151504724
12,0.5187207958338285,0.4412921864797573,0.6009057230821445,0.5947181638076255,0.7322700549409392,0.5006713145942767
13,0.5184750858657431,0.4341032537493375,0.624799995866251,0.6261253697220964,0.7703081872847958,0.5274082764427548
14,0.5175131440605267,0.43153413097457133,0.5938972752294863,0.5771236199308138,0.7642275160629838,0.46361795898961283
15,0.5165969878435135,0.4418797705433156,0.6175253700390617,0.6242808517220995,0.7200970455585998,0.5509696368427889
16,0.5153735937310917,0.4250379665063159,0.642337181034394,0.6564890509743817,0.7488558177375872,0.5844069223176936
17,0.5157821790711714,0.4301404643176806,0.6482322361275994,0.6648817305284265,0.7502503517927807,0.5969567867592782
18,0.5136948415991103,0.43629430573765593,0.634534665410067,0.6474606598017502,0.7352871889255347,0.578377161632526
19,0.5135090167422106,0.43772234243921715,0.5987205360604166,0.5845017856079593,0.7685168579271057,0.4715853043518115
20,0.5141749352511793,0.44588085212329825,0.6158109767723572,0.6198917178164336,0.7278826299781672,0.5398053784577238
21,0.5120344933601889,0.44911405119565456,0.5901502736038567,0.5782104262289236,0.7240580195260506,0.4812688504633817
22,0.513514928667262,0.4302046467172037,0.6516395800844934,0.670366151115934,0.7473560319616963,0.6077580409410109
23,0.5091089788492363,0.4200225112461808,0.6515587133650467,0.669736269327516,0.7500788902774531,0.6049406242734675
24,0.5087835550455764,0.43291593247120924,0.6188568706106389,0.6214692794307198,0.7442407072553522,0.5334681474643987
25,0.5084195653400799,0.44484867317841786,0.5977341718086535,0.5943425832036734,0.7091209968759542,0.511544727467829
26,0.5083867127795031,0.42090622829918817,0.6296700989452759,0.6341767352816442,0.7670445173379602,0.540544253395834
27,0.5073092540006826,0.42842727191377394,0.6445842076138223,0.6584744750956139,0.75606932254588,0.5831953902622119
28,0.5076638380489727,0.4293639173011969,0.6468342121438988,0.6682773024399349,0.7233429292403243,0.6210033613039367
29,0.5079434176187704,0.4309238871135334,0.6159428043295392,0.6142824811498041,0.7582682940118218,0.5162531705388214
30,0.5043448727614809,0.42553120940038475,0.6234227892144968,0.624831799461496,0.765290851222705,0.5279367769594941
31,0.5044752453075777,0.43257805941128497,0.6172769425483324,0.6176368722823387,0.7513831216357684,0.5243104047616016
32,0.5059781403529762,0.43755919006791444,0.615667647814748,0.6182689154903336,0.7347126365416903,0.5336864363501297
33,0.5043810355928865,0.43095359353735896,0.6178024258137551,0.622761064940986,0.7293210736509274,0.5433708225445091
34,0.5032967568033992,0.42774277954998585,0.6318400343374295,0.6390615156510714,0.7579979485391831,0.5523879176990967
35,0.502580861348917,0.4296798328361889,0.6234819556883775,0.6229776435403916,0.7770296046716291,0.5199036398488718
36,0.5016018329280438,0.4247053047217945,0.6353534943904754,0.6448051093758188,0.7556512622579408,0.5623195535286811
37,0.5010771006345749,0.42721582875393405,0.626630008269325,0.6312187775640365,0.7571883268481541,0.5411853692238873
38,0.5022254406225564,0.42724199253733797,0.6274054869238965,0.6368433995565544,0.7339205334394798,0.5624481304133693
