epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
8,0.483841,0.411407,0.642991,0.653642,0.770355,0.567643,0.934487,0.832100,1.00e-04,117.3
1,0.524213,0.450368,0.556814,0.516884,0.730469,0.399943,0.942866,0.791335,1.00e-04,179.5
9,0.484815,0.434686,0.611985,0.610035,0.746792,0.515614,0.932315,0.816013,1.00e-04,203.1
2,0.506880,0.456723,0.584632,0.579575,0.677599,0.506328,0.906730,0.794977,1.00e-04,192.4
10,0.481164,0.425419,0.630067,0.636626,0.756483,0.549556,0.931509,0.824905,1.00e-04,204.3
3,0.498236,0.423229,0.647586,0.665806,0.740531,0.604779,0.917960,0.830550,1.00e-04,194.0
11,0.477896,0.410076,0.631673,0.633756,0.788660,0.529714,0.945043,0.829124,1.00e-04,215.6
4,0.494170,0.418790,0.607532,0.597956,0.774915,0.486793,0.945257,0.817299,1.00e-04,204.3
12,0.477231,0.410097,0.623894,0.621926,0.787824,0.513744,0.946432,0.825668,1.00e-04,222.7
5,0.491012,0.421339,0.601604,0.581244,0.823659,0.449075,0.962777,0.819402,1.00e-04,203.3
13,0.480310,0.433916,0.600370,0.594245,0.730187,0.500977,0.928330,0.809055,1.00e-04,206.4
6,0.488537,0.435934,0.598273,0.594387,0.712955,0.509633,0.920561,0.805870,1.00e-04,191.9
14,0.477965,0.437810,0.577445,0.551226,0.749264,0.435990,0.943513,0.801862,1.00e-04,192.9
7,0.491324,0.429560,0.597108,0.590463,0.722035,0.499452,0.925559,0.806631,1.00e-04,181.3
15,0.477118,0.415681,0.630673,0.643049,0.728188,0.575735,0.916797,0.821606,1.00e-04,195.8
8,0.484701,0.418947,0.636439,0.653692,0.719471,0.598934,0.909587,0.822883,1.00e-04,186.7
16,0.477360,0.414428,0.616402,0.605145,0.823617,0.478278,0.960345,0.825799,1.00e-04,198.5
9,0.484321,0.420415,0.619485,0.621626,0.748673,0.531443,0.930930,0.819432,1.00e-04,182.6
17,0.474807,0.413367,0.633206,0.635255,0.794161,0.529340,0.946882,0.830345,5.00e-05,200.3
10,0.482211,0.423542,0.604000,0.597538,0.744136,0.499195,0.933547,0.812318,5.00e-05,190.2
11,0.475696,0.414663,0.623047,0.628432,0.742238,0.544886,0.926740,0.820163,5.00e-05,194.4
18,0.469111,0.408777,0.625437,0.624153,0.788903,0.516327,0.946510,0.826445,5.00e-05,214.8
12,0.473160,0.420121,0.608515,0.601082,0.765645,0.494745,0.941370,0.816716,5.00e-05,89.9
13,0.471915,0.408905,0.631196,0.636500,0.767091,0.543905,0.936063,0.826611,5.00e-05,84.2
14,0.471591,0.412988,0.618019,0.615905,0.767960,0.514112,0.939859,0.821032,5.00e-05,81.9
15,0.471809,0.413746,0.639987,0.647431,0.781166,0.552793,0.940045,0.831962,5.00e-05,90.4
16,0.469446,0.424514,0.592021,0.572950,0.770264,0.456112,0.947332,0.810231,5.00e-05,166.1
17,0.469341,0.409103,0.628269,0.631634,0.769388,0.535717,0.937833,0.825602,5.00e-05,174.2
18,0.466582,0.414681,0.625337,0.629460,0.755845,0.539286,0.932556,0.822794,5.00e-05,185.3
