Model,Checkpoint,Params_M,Eval_seconds,IoU,mIoU,F1,Precision,Recall,Accuracy,Specificity
ViT-UNet,vit_unet_4skip_seed42_best.pth,33.117000,12.210000,0.574160,0.685741,0.729481,0.693850,0.768970,0.840821,0.868639
CBD-Net,cbdnet_best.pth,73.397000,9.400000,0.516124,0.666653,0.680847,0.814904,0.584666,0.847015,0.948585
SegFormer,segformer_best.pth,3.714000,5.520000,0.517054,0.665244,0.681654,0.795156,0.596509,0.844495,0.940506
TransUNet,transunet_best.pth,107.051000,10.030000,0.513193,0.658222,0.678291,0.755372,0.615486,0.837049,0.922829
U-Net,unet_best.pth,31.044000,9.850000,0.487889,0.646314,0.655813,0.787278,0.561972,0.835366,0.941212
DS-UNet,dsunet_best.pth,7.806000,6.440000,0.489527,0.645891,0.657291,0.774075,0.571126,0.833777,0.935464
DeepLabV3+,deeplabv3plus_best.pth,26.678000,5.990000,0.475813,0.639014,0.644814,0.788670,0.545342,0.832319,0.943425
LRA-UNet,lraunet_best.pth,1.870000,7.330000,0.471679,0.637972,0.641007,0.803966,0.532977,0.833381,0.949686
DAENet,daenet_best.pth,24.889000,6.330000,0.448273,0.618780,0.619045,0.756752,0.523740,0.820088,0.934822
