epoch,train_loss,val_loss,mIoU,F1,Precision,Recall,Specificity,Accuracy,lr,sec
1,0.579580,0.485913,0.504638,0.395488,0.846738,0.257995,0.981920,0.779872,1.00e-04,865.8
2,0.525888,0.460749,0.621164,0.632221,0.710402,0.569543,0.910111,0.815058,1.00e-04,841.2
3,0.512588,0.468949,0.622426,0.658800,0.631636,0.688407,0.844566,0.800982,1.00e-04,815.0
4,0.503229,0.445191,0.587919,0.568741,0.753686,0.456679,0.942217,0.806702,1.00e-04,842.2
5,0.494415,0.438790,0.632287,0.652245,0.699017,0.611340,0.898088,0.818056,1.00e-04,836.2
6,0.488399,0.434248,0.596557,0.576747,0.795289,0.452424,0.954913,0.814667,1.00e-04,845.5
7,0.484852,0.437174,0.608009,0.604864,0.740124,0.511404,0.930479,0.813514,1.00e-04,842.1
8,0.481835,0.427895,0.669946,0.702910,0.715118,0.691113,0.893408,0.836947,1.00e-04,831.7
9,0.478022,0.444923,0.617812,0.618884,0.749213,0.527180,0.931680,0.818783,1.00e-04,833.5
10,0.475237,0.439707,0.615671,0.621788,0.717993,0.548319,0.916620,0.813826,1.00e-04,832.3
11,0.474008,0.411561,0.594762,0.571226,0.813308,0.440201,0.960879,0.815557,1.00e-04,809.5
12,0.476567,0.425208,0.622841,0.622150,0.775974,0.519224,0.941964,0.823977,1.00e-04,943.6
13,0.473243,0.422497,0.632432,0.639737,0.759265,0.552725,0.932151,0.826252,1.00e-04,934.1
14,0.470916,0.429551,0.619689,0.631501,0.703619,0.572793,0.906589,0.813426,1.00e-04,933.8
15,0.471069,0.420194,0.637155,0.651196,0.736352,0.583695,0.919088,0.825479,1.00e-04,969.2
16,0.466803,0.428303,0.639104,0.657997,0.718114,0.607169,0.907726,0.823840,1.00e-04,940.5
17,0.465776,0.430829,0.563008,0.515158,0.816141,0.376361,0.967174,0.802277,5.00e-05,920.5
18,0.462796,0.415331,0.620102,0.624390,0.739279,0.540409,0.926213,0.818534,5.00e-05,960.0
19,0.461129,0.423964,0.622377,0.631372,0.722706,0.560533,0.916734,0.817318,5.00e-05,1128.3
20,0.460438,0.420653,0.646685,0.660075,0.764442,0.580783,0.930712,0.833046,5.00e-05,1012.2
21,0.458381,0.416283,0.647095,0.663395,0.749329,0.595144,0.922920,0.831437,5.00e-05,943.8
22,0.457456,0.427765,0.610336,0.612034,0.723381,0.530393,0.921476,0.812324,5.00e-05,950.2
23,0.457735,0.426452,0.613418,0.613818,0.739028,0.524889,0.928239,0.815663,2.50e-05,926.7
24,0.455928,0.418508,0.626949,0.631904,0.756107,0.542749,0.932220,0.823518,2.50e-05,946.5
25,0.454211,0.432199,0.610288,0.620685,0.686716,0.566239,0.899988,0.806838,2.50e-05,941.6
26,0.454083,0.429224,0.613266,0.615921,0.727388,0.534078,0.922505,0.814094,2.50e-05,594.7
