epoch,train_loss,val_loss,mIoU,F1,Precision,Recall
1,0.5428387063122032,0.4434087916766063,0.6345092983294924,0.6382788202270964,0.753505995389557,0.5536194223417333
2,0.5116590527024599,0.42777147800615517,0.63091507516722,0.6308522214209215,0.7646234504257534,0.5369188444098614
3,0.5060220264119677,0.4487481598216708,0.6328066644358432,0.6505958642370424,0.6843783694039924,0.6199925435500856
4,0.5023357334113357,0.46599463661118307,0.5878619296536864,0.5928667260901019,0.6290584281420909,0.5606138003609397
5,0.5001994091832992,0.4366504942426587,0.6102832090712862,0.6139467908032451,0.6864593595867792,0.5552908072461846
6,0.4941167599788987,0.4164139109082741,0.6436033016082661,0.6541259000701447,0.742045269576362,0.584834173799103
7,0.4925176836181395,0.4582312452321005,0.5781296950343576,0.5664133046207281,0.6553557241772456,0.4987285954852907
8,0.49010966194443184,0.42962727068674444,0.6604331155044739,0.6786763703527507,0.7423269778518445,0.625079985816755
9,0.48997426859223014,0.43108738855560225,0.6253321579922884,0.6387010989376207,0.6850190562402204,0.5982509494431903
10,0.48678245432306044,0.42523006489961457,0.6269339415024606,0.6305441020502659,0.7319675551584107,0.5538078174150037
11,0.4857768918027972,0.41256962878869313,0.6217107595976434,0.6109353413822253,0.8011348823509883,0.4937205974736776
12,0.486484193049445,0.4348230022605103,0.5908725150777522,0.5720831367338237,0.726689375839143,0.4717228845743623
13,0.4831713868102225,0.41508902712623674,0.6276378086884289,0.6282725273734387,0.7499783919483686,0.5405528946189041
14,0.4801948001184086,0.43742258507426424,0.6184885658772483,0.616751609137611,0.7340297443714939,0.5317872107062521
15,0.47991903694254334,0.41815769790422797,0.6247383012466224,0.6275051157105919,0.7298811258889774,0.5503164202655568
16,0.47964460808451814,0.4204528523553716,0.6262418499992618,0.6280920584839889,0.7390547217775776,0.5461006301497996
17,0.4768356840946887,0.4336443077219595,0.6139500375231451,0.6186646111032996,0.6916903952625999,0.5595866800897712
18,0.47276390048831995,0.42443999766123175,0.6164263562304013,0.614893150057466,0.7266177799730243,0.5329479998129945
19,0.4728606387530223,0.43419373861633903,0.5979774063289549,0.5862009283134595,0.717254443427538,0.4956405307076675
20,0.4711077403609115,0.41722699114591766,0.6328824881172936,0.6421474879113824,0.7204330096390853,0.5792089094314706
21,0.47073467341389985,0.421520594027963,0.6361234654670622,0.6422117632935493,0.7453474287602682,0.5641497537889112
22,0.470649218721555,0.4035322403553689,0.657253643430994,0.6688328933520182,0.7728863223749499,0.5894731801530471
23,0.4685466905484105,0.42836159408682645,0.6229616948847028,0.6286159444651359,0.7111949489665615,0.5632196813792579
24,0.4702920161261417,0.4222182991481063,0.6240728505836444,0.6222008204494696,0.7526779374000614,0.5302777242549864
25,0.4687996952988134,0.42266409408928146,0.6152346086765152,0.6123899584175866,0.7295076070598322,0.5276759020992973
26,0.4665319278541178,0.4304991104815266,0.618549295280621,0.6240159354838862,0.7004391937810727,0.5626296413264927
27,0.46785974945172226,0.4265695084439646,0.6174126360661869,0.618062895299221,0.718942049872847,0.5420108928015368
28,0.46699839306644875,0.423056706343547,0.6238913291578716,0.6270963940603164,0.7252688664960212,0.552333355755864
29,0.46420973694265477,0.4142563009616172,0.6295000574133129,0.6317561105518016,0.7467414045456487,0.5474578864498726
30,0.46209359722267285,0.41564881506532725,0.6350799677376198,0.638940454721899,0.7547185778262441,0.5539605948285733
31,0.46305982384941363,0.42174165939340497,0.6221659010069123,0.6212777734651654,0.7410954158374928,0.5348121122845338
32,0.4612763622167087,0.4182059629128711,0.6316036876254663,0.6379923494126949,0.7310703979481229,0.565939256156391
33,0.4610684545766009,0.43219830730173847,0.6075375266696728,0.6018827705202738,0.7191192727200374,0.5175143342837981
34,0.4606744331298488,0.4214718964430365,0.6124515794045776,0.6057158873136712,0.7407612091951585,0.5123179868041126
35,0.45980504265811184,0.42778210179640513,0.6120981298580374,0.607456324665099,0.7286515857820733,0.5208286920542966
36,0.45872166354467375,0.4273049205836683,0.6174826524413863,0.6195217931493048,0.7126630778859033,0.5479132999579043
37,0.4583337261240081,0.425078284622419,0.6100734825626541,0.6018102256335901,0.7408466492700189,0.5067147041419551
