Model,mIoU_mean,mIoU_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std
ViT-UNet (Proposed),0.6570361933460369,0.009382908010168214,0.6755988972378834,0.01065005466282055,0.734317608457269,0.030343924604215432,0.6267151449921976,0.025530240315265598
TransUNet,0.6319705550864011,0.017574447992009665,0.6307667054251556,0.03312395016239048,0.7749604339998445,0.03805586033675351,0.5358125839182906,0.0620450583341306
U-Net,0.6286033050884379,0.020874119002459748,0.6274630297328757,0.03403028467422019,0.7600595025136672,0.011352347823071656,0.5362815117666867,0.055690595120045205
DeepLabV3+,0.6535350421656295,0.021719896448698168,0.6635734697033172,0.030664327652035774,0.768395489389421,0.007820140103690646,0.58462849435576,0.04320844897698538
CBD-Net,0.6558648793406339,0.0158923867642957,0.6634188782141183,0.02539908617766926,0.7938908971922656,0.018992994411503455,0.5715083045165228,0.04644795198702105
DS-UNet,0.6460844478030369,0.003727470509947014,0.6539102397307047,0.004979617190784288,0.7641142348049003,0.004231228649184238,0.5715014941402762,0.006058987745544697
LRA-UNet,0.6364629610858853,0.0054461754213684516,0.6402879659518598,0.008551981435810577,0.7589683015769572,0.005598280811102669,0.5538404251316313,0.013863730863976121
DAENet,0.6454525443761273,0.006223311726798496,0.6521383265493685,0.008544692173933985,0.7706570906873936,0.030806075114472642,0.5661812677408714,0.022962380949724342
SegFormer,0.656254470706581,0.010216643630940481,0.6651358071344426,0.01605630701328699,0.7885356580053693,0.03412298363116178,0.5767088780778971,0.035449400812140534
