epoch,train_loss,val_loss,mIoU,F1,Precision,Recall
1,0.6050585411710314,0.41022788120968506,0.6524889416391063,0.6574239607816181,0.8033936810116343,0.556342189482732
2,0.5184422060109601,0.43335621221230763,0.6346835448400903,0.6478829240210048,0.7070112398985252,0.5978821402063135
3,0.5132813615226509,0.45594388541608755,0.5858416815972627,0.5950701469514178,0.6141483373694906,0.5771424923012463
4,0.5084187960860753,0.46313817577786964,0.5808260326380477,0.5701491764641209,0.659468377848163,0.5021396362757199
5,0.5064259171485901,0.4092940071431717,0.6491478662838013,0.6714217805640184,0.6997046564534981,0.6453374499625173
6,0.5025975874597484,0.42662946658559364,0.6209741843951523,0.613415553827804,0.7762132458505515,0.5070674603491075
7,0.4940336568668337,0.424079434706433,0.6226791000814433,0.6224587083224177,0.7391358271628782,0.5375966288637334
8,0.49751088937910476,0.4260242793819692,0.640020492122023,0.6452825887354685,0.7615128356841138,0.559835365234904
9,0.48934107856585246,0.4270113995759794,0.608155714662394,0.5926367798170665,0.7766151071292037,0.47913222429090285
10,0.4936487981588534,0.4353416984034057,0.5900157828961972,0.5634458021852584,0.7675239710153122,0.4450985699349809
11,0.4923250580040535,0.43254072713379815,0.649411579339578,0.662070407832306,0.7456686337601259,0.5953280210878165
12,0.4821961137032745,0.4140958293239669,0.6464018156027189,0.6563312166511702,0.7528249380269768,0.5817641686799196
13,0.4793808826125494,0.4449016838380606,0.6030058940890465,0.6060650766303066,0.670336647472911,0.5530406923780921
14,0.4789535021870443,0.41334452753019807,0.6587722168823487,0.6690541583876538,0.7856435569581866,0.5825976036748404
15,0.4764990512244772,0.4297123633989013,0.6231246465316059,0.6328285903287341,0.6942927848064142,0.5813627517264153
16,0.4770759746137232,0.4185565323522775,0.6509194173279138,0.6636866934153712,0.7489488880456928,0.5958540770476748
17,0.4749799423878736,0.4296106905630319,0.6177244400812143,0.6303050179932072,0.671136343464011,0.5941579285206657
18,0.47141934259988294,0.41953374991322506,0.6376411186872325,0.6504971501649698,0.7155353179334067,0.596297906835394
19,0.4700635237121346,0.43053656403381046,0.6154005044409602,0.6166112633819651,0.7105734853934921,0.5445976196366614
20,0.46930253808156097,0.42461450442229165,0.6386364621214153,0.6556149131687232,0.6998744601743138,0.6166211792819865
