epoch,train_loss,val_loss,mIoU,F1,Precision,Recall
1,0.5625034351602639,0.4467587102167677,0.627947690414521,0.6281446530383283,0.7534416044679226,0.5385799225395466
2,0.5418432227308208,0.4326634362782582,0.6493243805910098,0.6591403235894827,0.7615636359918789,0.5810017865836083
3,0.5357697980828805,0.44704480926589213,0.5882866397864358,0.561848491344434,0.7587970585330105,0.4460700974696893
4,0.5317863751903619,0.44703566910016657,0.599188362203761,0.5741129963009585,0.8015438899119948,0.4472192572509211
5,0.5318678609362923,0.46014363429333904,0.5715195885087467,0.5394229928041917,0.7168375188914716,0.43240513833764804
6,0.5305410684040277,0.43460059844621335,0.6210736404615053,0.6185283134579527,0.7466231200276329,0.5279509470489206
7,0.5273870806587805,0.44474828980936865,0.5927971273613561,0.5743206713469178,0.7323890759956867,0.47237152730666093
8,0.5255089246548048,0.4423679809759159,0.616840768027934,0.6057197899676289,0.783402299266385,0.49373674171379806
9,0.5214283803459441,0.4354279259643932,0.6264959229015018,0.6197912328945441,0.7917413878952679,0.5092033798012066
10,0.5217233660197494,0.4263375932627385,0.6337023913192128,0.6345935959964495,0.7679963428285459,0.5406774880200599
11,0.5216496974819957,0.44087852345834866,0.5971136525005188,0.5749459741086644,0.7717519922324504,0.4581204957740875
12,0.5190104167207633,0.4340124360405573,0.6477477127982746,0.6654933081740584,0.7163823947405501,0.6213555004999187
13,0.519265078081943,0.4356586729535962,0.629209046058631,0.6378204575815523,0.7140575217980616,0.5762928674610069
14,0.5169104041882081,0.4188582566705081,0.6503648151504209,0.6595539445048204,0.7682919330291681,0.5777803266015997
15,0.5191578126632341,0.4376250661835812,0.6192199658318602,0.6266677531528436,0.6939185737583776,0.5713012417155047
16,0.5185747661507956,0.4332021527951307,0.6348155201101714,0.6395418106163392,0.7490367166193642,0.5579770446235208
17,0.5191367559208728,0.4405225713064175,0.6159427165504058,0.613232587905259,0.731047921752288,0.5281216017001378
18,0.5166380713776787,0.44276767054406724,0.6134314127448539,0.6106989911977541,0.7233421120744259,0.5284123348379007
19,0.5169857536064516,0.43296825590700205,0.625155308647065,0.6282514781191646,0.7294336574222919,0.5517212427872278
20,0.5164357894422984,0.4331516113021586,0.6578908995516581,0.6719068631826831,0.7597857505201119,0.6022498868420748
21,0.5164552702762113,0.4397576929319023,0.6111164644179407,0.6028782436128831,0.7443489112738232,0.506595674574965
22,0.5141806433549022,0.4297300866334745,0.6311253181208435,0.633124646909494,0.7531904181496186,0.5460757753168457
23,0.5135174277100233,0.43464653533284026,0.6279544708976357,0.6310003284045546,0.7378572737246373,0.5511790881924471
24,0.5125940498886722,0.4261700667367123,0.6441569031386392,0.6557320910243829,0.7379428166669545,0.5900034773963267
25,0.5121480516425454,0.43465353887860136,0.6206135812984086,0.6180069975097086,0.7454586469613339,0.5277739076699722
26,0.5115050006620955,0.42267298108280293,0.6536071354253266,0.6645898083065745,0.7664725950483603,0.5866152848101359
27,0.510962653720733,0.42915919806697583,0.6357508790838022,0.6413129812084277,0.7471532051694152,0.5617390174131792
28,0.5114612526232654,0.4247550896488794,0.6371209395530071,0.6404142269882593,0.7643572251732805,0.5510590553110992
29,0.5114417181599258,0.4284302382776053,0.6368796718201735,0.6458174462028783,0.7324695452609388,0.5774993985814241
