epoch,train_loss,val_loss,mIoU,F1,Precision,Recall
1,0.5568385006177543,0.4707933968246573,0.561008112199204,0.5159157066682436,0.737841011081989,0.39662184055736865
2,0.5417392478130831,0.47241081341658486,0.5630005896057039,0.5232764993473525,0.7182229674960362,0.4115662535215576
3,0.5391060181773535,0.46839251789716213,0.5577330779002219,0.5071797088641211,0.7529513497085939,0.3823704441832106
4,0.5327166269468789,0.45268776304651015,0.5873884001422931,0.5640785997064058,0.7369030515060168,0.4569190268306574
5,0.5322193341827629,0.4516834480927722,0.6182950093339442,0.6200972847320118,0.7160521644493311,0.5468211466742731
6,0.5327708614197108,0.45259520942621895,0.594150303930648,0.5852542978232387,0.6919977618205752,0.5070418758329843
7,0.5290779247142301,0.44993011756698686,0.6306657793153281,0.6374754275944349,0.7264151180020204,0.5679397737753891
8,0.5282765081760907,0.4406282990285666,0.6256025137982675,0.6206041130105795,0.7769580101717132,0.5166375287455028
9,0.5272000540453609,0.4454378069627403,0.6324827537540765,0.6359136273757124,0.7492833446423857,0.5523427048214704
10,0.5259342260732509,0.4336540678350052,0.6092473827711833,0.6000266534027437,0.7431718475951518,0.5031196463772711
11,0.5250539878512374,0.4415664005987715,0.5903141007642241,0.5653454749408324,0.7589389844359684,0.4504447760955589
12,0.5235457433627384,0.42754058584128274,0.6096210141430595,0.5968288489189967,0.7653178180240053,0.48914224603318057
13,0.5221712274274023,0.45111136448265304,0.5929620806976927,0.5730732123834025,0.7406626637300758,0.46733114960441063
14,0.5229267965596501,0.43934602725623856,0.6122721071886614,0.6032933840458177,0.7526361242985754,0.5034053629432453
15,0.5222316643241609,0.44513919565937304,0.6152869939080469,0.6072705087733131,0.7579553052176786,0.5065641613830913
16,0.521200556861292,0.4479124941448174,0.5432461070386658,0.4795138252133442,0.7497779126044505,0.35246524598872175
17,0.5212203220713256,0.4306258237597966,0.6253239702141954,0.6261275361682096,0.7418421116900916,0.5416416275126792
18,0.5190655334603669,0.4405097937819981,0.6214071266943089,0.6179753413345562,0.7527150399959688,0.5241506202876766
19,0.5183050747555081,0.4349017934043809,0.6378408022240447,0.646228368392282,0.737877020837971,0.5748317681249047
20,0.5159099664871055,0.4339921731169861,0.6202075346942642,0.6190267466880333,0.73650573168545,0.5338706385753605
21,0.5158771409994305,0.43281103036191204,0.6261492271399545,0.6284551572382913,0.7363842846857035,0.5481200739260012
22,0.5144216965625782,0.4323961622644179,0.6299626848901809,0.6332204255444148,0.7426802759355681,0.5518821835312537
23,0.5152805294140731,0.44022418897930937,0.6291688728743113,0.6375841859845656,0.714851459343529,0.5753917999573329
24,0.5157549316340154,0.4404308087754958,0.5935821213732705,0.5749550676291572,0.7362208011956809,0.47164435242326774
25,0.5134095981864646,0.4423410924944547,0.6180961280959856,0.6177390100043495,0.725845809997487,0.5376611146138192
26,0.5124981626868248,0.4337540811831408,0.6284466741710998,0.6287932899613058,0.7541817753589354,0.5391554145341241
27,0.510719738605589,0.43641867495999476,0.62465861041101,0.6228697076836497,0.7541322118497675,0.5305280511872502
